Clapeyron Estimator,,,
[method=binary_u],,,
x,P,T,out_u
0.1977,101325,298.15,1248.6
0.3178,101325,298.15,1280.9
0.4185,101325,298.15,1309.2
0.505,101325,298.15,1328.3
0.6828,101325,298.15,1377.7
0.7871,101325,298.15,1404.8
0.9001,101325,298.15,1433.9
0.1977,101325,313.15,1184.1
0.3178,101325,313.15,1220.5
0.4185,101325,313.15,1243.7
0.505,101325,313.15,1263.1
0.6828,101325,313.15,1315.6
0.7871,101325,313.15,1344.5
0.9001,101325,313.15,1375.3
0.1977,101325,323.15,1140.2
0.3178,101325,323.15,1174.6
0.4185,101325,323.15,1199.8
0.505,101325,323.15,1219.5
0.6828,101325,323.15,1274.4
0.7871,101325,323.15,1304.4
0.9001,101325,323.15,1336.3
