Clapeyron Estimator,,,,
[method=Cv, species=CC],,,
T,P,p,out_Cv,Phase
150,10,10000000,43.739,liquid
160,10,10000000,43.578,liquid
170,10,10000000,43.5,liquid
180,10,10000000,43.507,liquid
190,10,10000000,43.601,liquid
200,10,10000000,43.786,liquid
210,10,10000000,44.062,liquid
220,10,10000000,44.432,liquid
230,10,10000000,44.893,liquid
240,10,10000000,45.447,liquid
250,10,10000000,46.092,liquid
260,10,10000000,46.829,liquid
270,10,10000000,47.659,liquid
150,30,30000000,44.445,liquid
160,30,30000000,44.302,liquid
170,30,30000000,44.237,liquid
180,30,30000000,44.251,liquid
190,30,30000000,44.348,liquid
200,30,30000000,44.528,liquid
210,30,30000000,44.793,liquid
220,30,30000000,45.143,liquid
230,30,30000000,45.575,liquid
240,30,30000000,46.087,liquid
250,30,30000000,46.675,liquid
260,30,30000000,47.337,liquid
270,30,30000000,48.067,liquid
150,50,50000000,45.1,liquid
160,50,50000000,44.973,liquid
170,50,50000000,44.921,liquid
180,50,50000000,44.945,liquid
190,50,50000000,45.048,liquid
200,50,50000000,45.231,liquid
210,50,50000000,45.496,liquid
220,50,50000000,45.841,liquid
230,50,50000000,46.266,liquid
240,50,50000000,46.768,liquid
250,50,50000000,47.344,liquid
260,50,50000000,47.99,liquid
270,50,50000000,48.702,liquid
