T,x,Ve
293.15,0.1,?0.037
298.15,0.1,?0.065
303.15,0.1,?0.079
308.15,0.1,?0.091
313.15,0.1,?0.108
318.15,0.1,?0.127
323.15,0.1,?0.146
328.15,0.1,?0.171
333.15,0.1,?0.190
293.15,0.2,?0.143
298.15,0.2,?0.167
303.15,0.2,?0.197
308.15,0.2,?0.226
313.15,0.2,?0.265
318.15,0.2,?0.303
323.15,0.2,?0.344
328.15,0.2,?0.392
333.15,0.2,?0.439
293.15,0.3,?0.303
298.15,0.3,?0.359
303.15,0.3,?0.420
308.15,0.3,?0.486
313.15,0.3,?0.487
318.15,0.3,?0.557
323.15,0.3,?0.635
328.15,0.3,?0.717
333.15,0.3,?0.801
293.15,0.4,?0.432
298.15,0.4,?0.459
303.15,0.4,?0.524
308.15,0.4,?0.592
313.15,0.4,?0.667
318.15,0.4,?0.746
323.15,0.4,?0.827
328.15,0.4,?0.916
333.15,0.4,?1.009
293.15,0.5,?0.550
298.15,0.5,?0.610
303.15,0.5,?0.681
308.15,0.5,?0.751
313.15,0.5,?0.827
318.15,0.5,?0.907
323.15,0.5,?0.991
328.15,0.5,?1.078
333.15,0.5,?1.173
293.15,0.6,?0.563
298.15,0.6,?0.626
303.15,0.6,?0.685
308.15,0.6,?0.774
313.15,0.6,?0.855
318.15,0.6,?0.942
323.15,0.6,?1.034
328.15,0.6,?1.133
333.15,0.6,?1.238
293.15,0.7,?0.552
298.15,0.7,?0.624
303.15,0.7,?0.698
308.15,0.7,?0.780
313.15,0.7,?0.866
318.15,0.7,?0.954
323.15,0.7,?1.043
328.15,0.7,?1.137
333.15,0.7,?1.237
293.15,0.8,?0.454
298.15,0.8,?0.525
303.15,0.8,?0.602
308.15,0.8,?0.680
313.15,0.8,?0.759
318.15,0.8,?0.841
323.15,0.8,?0.923
328.15,0.8,?1.010
333.15,0.8,?1.099
293.15,0.9,?0.232
298.15,0.9,?0.267
303.15,0.9,?0.303
308.15,0.9,?0.343
313.15,0.9,?0.384
318.15,0.9,?0.427
323.15,0.9,?0.469
328.15,0.9,?0.515
333.15,0.9,?0.562
