T,p,Cv,Cp,u
150,5000000,105.4,141.45,1773.4
150,7500000,105.52,141.41,1782.7
150,10000000,105.64,141.37,1792
160,5000000,105.06,141.29,1723.2
160,7500000,105.18,141.23,1733
160,10000000,105.3,141.17,1742.8
170,5000000,105,141.43,1673
170,7500000,105.12,141.36,1683.4
170,10000000,105.24,141.29,1693.7
180,5000000,105.22,141.88,1623
180,7500000,105.34,141.79,1634
180,10000000,105.46,141.7,1644.8
190,5000000,105.72,142.63,1572.9
190,7500000,105.84,142.51,1584.6
190,10000000,105.96,142.4,1596
200,5000000,106.49,143.66,1523
200,7500000,106.61,143.52,1535.3
200,10000000,106.74,143.39,1547.4
210,5000000,107.52,144.97,1473.2
210,7500000,107.65,144.81,1486.2
210,10000000,107.77,144.65,1499
220,5000000,108.8,146.53,1423.6
220,7500000,108.92,146.34,1437.4
220,10000000,109.04,146.16,1450.9
230,5000000,110.31,148.34,1374.3
230,7500000,110.43,148.12,1388.9
230,10000000,110.55,147.91,1403.1
240,5000000,112.02,150.37,1325.4
240,7500000,112.14,150.11,1340.8
240,10000000,112.25,149.87,1355.8
250,5000000,113.91,152.6,1276.9
250,7500000,114.03,152.31,1293.2
250,10000000,114.15,152.03,1309.1
260,5000000,115.97,155.03,1228.9
260,7500000,116.09,154.69,1246.1
260,10000000,116.2,154.38,1262.9
270,5000000,118.18,157.63,1181.3
270,7500000,118.29,157.24,1199.6
270,10000000,118.41,156.88,1217.3
280,5000000,120.52,160.38,1134.3
280,7500000,120.63,159.94,1153.7
280,10000000,120.73,159.53,1172.3
290,5000000,122.96,163.29,1087.8
290,7500000,123.07,162.77,1108.3
290,10000000,123.17,162.31,1128
300,5000000,125.5,166.33,1041.8
300,7500000,125.6,165.74,1063.6
300,10000000,125.7,165.21,1084.4
310,5000000,128.13,169.51,996.3
310,7500000,128.22,168.83,1019.4
310,10000000,128.31,168.22,1041.4
320,5000000,130.82,172.82,951.28
320,7500000,130.9,172.02,975.83
320,10000000,130.99,171.33,999.14
330,5000000,133.57,176.25,906.67
330,7500000,133.64,175.33,932.82
330,10000000,133.72,174.53,957.51
340,5000000,136.37,179.81,862.44
340,7500000,136.43,178.73,890.33
340,10000000,136.5,177.81,916.51
350,5000000,139.21,183.51,818.51
350,7500000,139.26,182.25,848.33
350,10000000,139.31,181.18,876.14
360,5000000,142.09,187.36,774.82
360,7500000,142.12,185.87,806.79
360,10000000,142.16,184.63,836.37
370,5000000,145.01,191.39,731.29
370,7500000,145.01,189.6,765.68
370,10000000,145.03,188.16,797.2
380,5000000,147.96,195.62,687.83
380,7500000,147.93,193.47,724.96
380,10000000,147.93,191.78,758.61
390,5000000,150.94,200.11,644.36
390,7500000,150.87,197.49,684.6
390,10000000,150.84,195.49,720.61
400,5000000,153.96,204.92,600.75
400,7500000,153.83,201.69,644.57
400,10000000,153.76,199.3,683.19
410,5000000,157.01,210.17,556.84
410,7500000,156.8,206.1,604.82
410,10000000,156.69,203.23,646.34
420,5000000,160.1,216.02,512.45
420,7500000,159.79,210.78,565.32
420,10000000,159.62,207.3,610.06
430,5000000,163.25,222.71,467.3
430,7500000,162.79,215.8,526.02
430,10000000,162.55,211.52,574.37
440,5000000,166.46,230.7,421.07
440,7500000,165.8,221.26,486.89
440,10000000,165.48,215.92,539.28
450,5000000,169.77,240.74,373.3
450,7500000,168.83,227.28,447.92
450,10000000,168.39,220.53,504.85
460,5000000,173.25,254.35,323.42
470,5000000,177.03,274.95,270.77
480,5000000,181.34,311.23,215.34
490,5000000,186.43,379.92,162.81
500,5000000,190.46,414.01,137.34
510,5000000,191.48,348.62,141.27
520,5000000,192.05,297.35,152.9
530,5000000,192.98,269.93,164.66
540,5000000,194.24,254.66,175.31
550,5000000,195.74,245.6,184.82
560,5000000,197.4,240.03,193.37
570,5000000,199.18,236.57,201.13
580,5000000,201.04,234.48,208.23
590,5000000,202.96,233.33,214.79
600,5000000,204.92,232.84,220.89
460,7500000,171.87,234.02,409.17
470,7500000,174.94,241.7,370.81
480,7500000,178.05,250.51,333.22
490,7500000,181.19,260.54,297.15
500,7500000,184.35,271.47,263.85
510,7500000,187.49,282.08,235.14
520,7500000,190.49,290.04,212.93
530,7500000,193.23,293.04,198.24
540,7500000,195.62,290.52,190.61
550,7500000,197.71,284.02,188.55
560,7500000,199.6,275.97,190.31
570,7500000,201.39,268.25,194.37
580,7500000,203.16,261.76,199.67
590,7500000,204.93,256.68,205.53
600,7500000,206.73,252.88,211.56
460,10000000,171.3,225.37,471.14
470,10000000,174.2,230.47,438.32
480,10000000,177.08,235.83,406.59
490,10000000,179.94,241.39,376.29
500,10000000,182.78,247.04,347.85
510,10000000,185.59,252.57,321.8
520,10000000,188.36,257.66,298.7
530,10000000,191.06,261.93,279.01
540,10000000,193.67,265.08,263.01
550,10000000,196.17,266.97,250.66
560,10000000,198.56,267.61,241.73
570,10000000,200.84,267.19,235.8
580,10000000,203,265.96,232.44
590,10000000,205.08,264.21,231.18
600,10000000,207.09,262.24,231.57

